wals.code	obligatory.possession	OP.source	OP.pages	OP.comments	affix.position	AP.source	AP.pages	AP.comments	GN.order	GN.source	GN.pages	GN.comments	glottocode	name	latitude	longitude	macroarea	genus	family	sample.100	sample.200	NAME	
cre	Exists				Possessive prefixes				Genitive-Noun	Wolfart (1973) https://doi.org/10.2307/1006246	19		plai1258	Cree (Plains)	54,0	-110,0	North America	Algonquian	Algic	TRUE	TRUE	Tom	
wic	Absent				Possessive prefixes				Genitive-Noun	Rood, David S. "Sketch of Wichita, a Caddoan Language" https://theswissbay.ch/pdf/Books/Linguistics/Mega%20linguistics%20pack/North%20American/Siouan%20%26%20Caddoan/Wichita%2C%20a%20Caddoan%20Language%2C%20Sketch%20of%20%28Rood%29.pdf	604		wich1260	Wichita	33,3	-97,3	North America	Caddoan	Caddoan	TRUE	TRUE	Tom	
hin	Absent				No possessive affixes	Outline of Hindi Grammar by R. S. McGregor	8		Genitive-Noun	Outline of Hindi Grammar by R. S. McGregor	9		hind1269	Hindi	25,0	77,0	Eurasia	Indic	Indo-European	TRUE	TRUE	Tom	
kln	Exists	https://doi.org/10.1515/9781614515241	471	Wals says Kolana doesn't have it, but Schapper & Hendery https://doi.org/10.1515/9781614515241 explicitly say Wersing does have it! This is also commented on the datapoint in wals, remarked by Schapper! http://blog.wals.info/datapoint-58a-wals_code_kln/comment-page-1/#comment-175149	Possessive prefixes	https://doi.org/10.1515/9781614515241	470-471		Genitive-Noun	https://doi.org/10.1515/9781614515241	470-471		kola1287	Kolana	-8,3	125,1	Papunesia	Kolana-Tanglapui	Timor-Alor-Pantar	FALSE	FALSE	Tom	
pai	Absent				Possessive prefixes	Egli (1990) (https://books.google.nl/books?id=sIGc4yZXtKIC&lpg=PP1&pg=PA155)	155		Noun-Genitive	Egli (1990) (https://books.google.nl/books?id=sIGc4yZXtKIC&lpg=PP1&pg=PA178&redir_esc=y#v=onepage&q&f=false)	178		paiw1248	Paiwan	22,5	120,8	Papunesia	Paiwan	Austronesian	TRUE	TRUE	Tom	
mrh	Absent				No possessive affixes	Green (1989)	46		Genitive-Noun	Green (1989)	133-4, 268		mari1424	Marrithiyel	-13,8	130,0	Australia	Bringen	Western Daly	FALSE	FALSE	Stella P.	
diy	Absent	Austin (2021[1981])			No possessive affixes	Austin (2021[1981])	141-151		Genitive-Noun	Austin (2012[1981])	142		dier1241	Diyari	-28,0	139,0	Australia	Central Pama-Nyungan	Pama-Nyungan	FALSE	FALSE	Stella P.	
koi	Exists	Dutton (1996)	5, 41		No possessive affixes	Dutton (1996)	5, 40	There are possessive markers in suffix position, but they are more like case markers (p. 5) and do not code for person/number/gender. So they are not analysed as pronominal possessive affixes.	Genitive-Noun	Dutton (1993)	56		gras1249	Koiari	-9,5	147,3	Papunesia	Koiarian	Trans-New Guinea	FALSE	FALSE	Stella P.	
lan	Absent				Possessive suffixes	Noonan (1992)	78, 158-159	Sometimes these suffixes act more like clitics (attach to the end of the NP) but otherwise they attach as suffixes to the (modified) possessed noun (p.159). 	Noun-Genitive	Noonan (1992)	156, 159		lang1324	Lango	2,2	33,0	Africa	Nilotic	Eastern Sudanic	TRUE	TRUE	Stella P.	
brh	Absent				Possessive suffixes	Elfenbein (2019)	517		Genitive-Noun	Andronov (1980)	97		brah1256	Brahui	28,5	67,0	Eurasia	Northern Dravidian	Dravidian	FALSE	TRUE	Stella P.	
taw	Exists	Ezard (1997)	150, 262	There is a subclass of (inalienable) nouns that are bound and must be morphologically marked with a pronominal enclitic/suffix.	Possessive suffixes	Ezard & Robert (2011)	760-761	only for kinship terms, relationship terms, body parts and quantifiers	Genitive-Noun	Ezard (1997)	150		tawa1275	Tawala	-10,3	150,7	Papunesia	Oceanic	Austronesian	FALSE	FALSE	Stella P.	
kay	Absent	Evans (1995)			No possessive affixes	Evans (1995)	151	use of free possessive pronouns	Genitive-Noun	Evans (1995)	235		kaya1319	Kayardild	-17,1	139,5	Australia	Tangkic	Tangkic	TRUE	TRUE	Stella P.	
bzi	Absent	Kuleti et al. (1980)	20, 23-24		No possessive affixes	Briley (1997); Kuleti et al. (1980)	Briley (1997): 7-8, 61-63; Kuleti et al. (1980): 20, 23-24	 	Genitive-Noun	Kuleti et al. (1980)	23		bauz1241	Bauzi	-2,5	137,5	Papunesia	East Geelvink Bay	East Geelvink Bay	FALSE	FALSE	Stella K.	
baa	Absent	Olson (1975)	483-484, 491-493		Possessive suffixes	Olson (1975)	483-484		Genitive-Noun	Olson (1975)	490, 493		bara1377	Barai	-9,3	148,1	Papunesia	Koiarian	Trans-New Guinea	FALSE	FALSE	Stella K.	
yim	Absent	Foley (1991)	176-182		No possessive affixes	Foley (1991)	178-180		Genitive-Noun	Foley (1991)	178		yima1243	Yimas	-4,7	143,6	Papunesia	Lower Sepik	Lower Sepik-Ramu	FALSE	TRUE	Stella K.	
mpa	Absent	Street (1987), Walsh (1976)	Walsh (1976): 281	 	No possessive affixes	Walsh 1976	281-282		Noun-Genitive	Walsh 1976	281		murr1258	Murrinh-Patha	-14,7	129,7	Australia	Murrinh-Patha	Southern Daly	FALSE	FALSE	Stella K.	
nkk	Absent				Possessive prefixes								naka1260	Nakkara	-12,1	134,4	Australia	Nakkara	Mangrida	FALSE	FALSE	Stella K.	
tlf	Exists	Healey (1962)	20		No possessive affixes	Healey (1965a)	8-10		Genitive-Noun	Healey (1965c)	8	Wrong citation. The right one is Healey (1965a: 8)	tele1256	Telefol	-5,0	141,8	Papunesia	Ok	Trans-New Guinea	FALSE	FALSE	Stella K.	
nai	Absent	Sem (1975), Avrorin (1959)	 		Possessive suffixes	Ko&Yurn (2011)	38	'This suffix has the function of representing possessive relation between a possess(ed) object and a possessor. If a pronoun and a noun possessed by it are connected, a nominative pronoun precedes the possessed noun, after which personal suffix is attached''	Genitive-Noun	Ko&Yurn (2011)	181	The answer was deduced from examples only.	nana1257	Nanai	49,5	137,0	Eurasia	Tungusic	Altaic	FALSE	FALSE	Stella K.	
hua	Exists	Haiman (1980)	216-218, 254-255, 366-368	Changed from 'Absent' to 'Exists'	Prefixes and suffixes	Haiman (1980)	366, 200, 224		Genitive-Noun	Haiman (1980)	257		yaga1260	Hua	-6,3	145,3	Papunesia	Eastern Highlands	Trans-New Guinea	FALSE	FALSE	Sasha	
kiu	Exists	Windschuttel & Shiohara (2017)	145	Two N classes, obligatory possessive marking and optional possessive marking	Possessive prefixes	Windschuttel & Shiohara (2017)	144-145	Zero marking ∅ for 2SG oblig. poss. N class 'eye'	Genitive-Noun	Windschuttel & Shiohara (2017)	144		kuii1253	Kui	-8,4	124,6	Papunesia	Greater Alor	Timor-Alor-Pantar	FALSE	FALSE	Sasha	
nah	Absent	Nagaraja (2014); Kuiper (1962)			Possessive suffixes	Nagaraja (2014)	50, 134-135, 140	-n is used with 3PL form, -na is used with Ns ending in -i, -a, and ∅ (zero) occurs elsewhere	Genitive-Noun	Kuiper (1962); Nagaraja (2014)	263; 50-51, 110-116, 135	Second source only contains examples of GN order.	niha1238	Nahali	19,8	77,8	Eurasia	Nahali	Nahali	FALSE	FALSE	Sasha	
apu	Absent	Facundes (2000)			Possessive prefixes	Facundes (2000)	146		Genitive-Noun	Facundes (2000)	156-157, 345, 452		apur1254	ApurinÃ£	-9,0	-67,0	South America	Purus	Arawakan	TRUE	TRUE	Sasha	
rus	Absent			datapoint confirmed by the native speaker	No possessive affixes	Bivon (1971)	passim	source and page taken from WALS; datapoint confirmed by the native speaker	Noun-Genitive	Bivon (1971)	11	source and page taken from WALS; datapoint confirmed by the native speaker	russ1263	Russian	56,0	38,0	Eurasia	Slavic	Indo-European	TRUE	TRUE	Sasha	
tht	Exists	Flassy & Stockhof (1979); Flassy (1991)	74; 12, 16	Changed from 'Absent' to 'Exists'	Possessive prefixes	Flassy & Stockhof (1979); Flassy (1991) 	74; 9, 12, 16		Genitive-Noun	Flassy (1991); Hesse (2000); Flassy & Stockhof (1979); Reesink (1996)	17; 26-27, 32; 68-69, 74-75; 9, 11-13	Possessive pronouns may either precede or follow the nouns (before the N seems to be the dominant position) but for N-N constructions, the order is based on examples, where all examples are GenN. Reesink (1996: 13) explicitely states that in all Ls of the Bird's Head, the order is GenN.	tehi1237	Tehit	-1,5	132,0	Papunesia	West Bird's Head	West Papuan	FALSE	FALSE	Sasha	
nug	Absent				No possessive affixes	Horrack (2018)	41-51		No dominant order	 			nung1290	Nunggubuyu	-13,8	135,7	Australia	Nunggubuyu	Gunwinyguan	FALSE	TRUE	Rik	
nyn	Absent				Possessive prefixes	Stokes (1982)	45-52	There is both prefixing and suffixing, but the former is more abundant and more productive	No dominant order	 			nyig1240	Nyigina	-18,0	124,3	Australia	Nyulnyulan	Nyulnyulan	FALSE	FALSE	Rik	
