"wals.code"	"obligatory.possession"	"OP.source"	"OP.pages"	"OP.comments"	"affix.position"	"AP.source"	"AP.pages"	"AP.comments"	"GN.order"	"GN.source"	"GN.pages"	"GN.comments"	"glottocode"	"name"	"latitude"	"longitude"	"macroarea"	"genus"	"family"	"sample.100"	"sample.200"	"NAME"	"X"
"1"	"cre"	"Exists"	""	""	""	"Possessive prefixes"	""	""	""	"Genitive-Noun"	"Wolfart (1973) https://doi.org/10.2307/1006246"	"19"	""	"plai1258"	"Cree (Plains)"	54	-110	"North America"	"Algonquian"	"Algic"	TRUE	TRUE	"Tom"	""
"2"	"wic"	"Absent"	""	""	""	"Possessive prefixes"	""	""	""	"Genitive-Noun"	"Rood, David S. Sketch of Wichita, a Caddoan Language https://theswissbay.ch/pdf/Books/Linguistics/Mega%20linguistics%20pack/North%20American/Siouan%20%26%20Caddoan/Wichita%2C%20a%20Caddoan%20Language%2C%20Sketch%20of%20%28Rood%29.pdf"	"604"	""	"wich1260"	"Wichita"	33.3	-97.3	"North America"	"Caddoan"	"Caddoan"	TRUE	TRUE	"Tom"	""
"3"	"hin"	"Absent"	""	""	""	"No possessive affixes"	"Outline of Hindi Grammar by R. S. McGregor"	"8"	""	"Genitive-Noun"	"Outline of Hindi Grammar by R. S. McGregor"	"9"	""	"hind1269"	"Hindi"	25	77	"Eurasia"	"Indic"	"Indo-European"	TRUE	TRUE	"Tom"	""
"4"	"kln"	"Exists"	"https://doi.org/10.1515/9781614515241"	"471"	"Wals says Kolana doesn't have it, but Schapper & Hendery https://doi.org/10.1515/9781614515241 explicitly say Wersing does have it! This is also commented on the datapoint in wals, remarked by Schapper! http://blog.wals.info/datapoint-58a-wals_code_kln/comment-page-1/#comment-175149"	"Possessive prefixes"	"https://doi.org/10.1515/9781614515241"	"470-471"	""	"Genitive-Noun"	"https://doi.org/10.1515/9781614515241"	"470-471"	""	"kola1287"	"Kolana"	-8.3	125.1	"Papunesia"	"Kolana-Tanglapui"	"Timor-Alor-Pantar"	FALSE	FALSE	"Tom"	""
"5"	"pai"	"Absent"	""	""	""	"Possessive prefixes"	"Egli (1990) (https://books.google.nl/books?id=sIGc4yZXtKIC&lpg=PP1&pg=PA155)"	"155"	""	"Noun-Genitive"	"Egli (1990) (https://books.google.nl/books?id=sIGc4yZXtKIC&lpg=PP1&pg=PA178&redir_esc=y#v=onepage&q&f=false)"	"178"	""	"paiw1248"	"Paiwan"	22.5	120.8	"Papunesia"	"Paiwan"	"Austronesian"	TRUE	TRUE	"Tom"	""
"6"	"mrh"	"Absent"	""	""	""	"No possessive affixes"	"Green (1989)"	"46"	""	"Genitive-Noun"	"Green (1989)"	"133-4, 268"	""	"mari1424"	"Marrithiyel"	-13.8	130	"Australia"	"Bringen"	"Western Daly"	FALSE	FALSE	"Stella P."	""
"7"	"diy"	"Absent"	"Austin (2021[1981])"	""	""	"No possessive affixes"	"Austin (2021[1981])"	"141-151"	""	"Genitive-Noun"	"Austin (2012[1981])"	"142"	""	"dier1241"	"Diyari"	-28	139	"Australia"	"Central Pama-Nyungan"	"Pama-Nyungan"	FALSE	FALSE	"Stella P."	""
"8"	"koi"	"Exists"	"Dutton (1996)"	"5, 41"	""	"No possessive affixes"	"Dutton (1996)"	"5, 40"	"There are possessive markers in suffix position, but they are more like case markers (p. 5) and do not code for person/number/gender. So they are not analysed as pronominal possessive affixes."	"Genitive-Noun"	"Dutton (1993)"	"56"	""	"gras1249"	"Koiari"	-9.5	147.3	"Papunesia"	"Koiarian"	"Trans-New Guinea"	FALSE	FALSE	"Stella P."	""
"9"	"lan"	"Absent"	""	""	""	"Possessive suffixes"	"Noonan (1992)"	"78, 158-159"	"Sometimes these suffixes act more like clitics (attach to the end of the NP) but otherwise they attach as suffixes to the (modified) possessed noun (p.159). "	"Noun-Genitive"	"Noonan (1992)"	"156, 159"	""	"lang1324"	"Lango"	2.2	33	"Africa"	"Nilotic"	"Eastern Sudanic"	TRUE	TRUE	"Stella P."	""
"10"	"brh"	"Absent"	""	""	""	"Possessive suffixes"	"Elfenbein (2019)"	"517"	""	"Genitive-Noun"	"Andronov (1980)"	"97"	""	"brah1256"	"Brahui"	28.5	67	"Eurasia"	"Northern Dravidian"	"Dravidian"	FALSE	TRUE	"Stella P."	""
